WeightFunction,AvgFee,MedianFeePerSat,AvgPathPe,NumSuccesses,SuccessRate (%)
CLN,110.46125865957445,0.0009692683107520135,0.4809754893617021,94,49.473684210526315
Combined,163.96817897499997,0.0013994415310089833,0.5282188416666667,120,63.1578947368421
Eclair,198.0751260948276,0.0022700186337333,0.5253418879310344,116,61.05263157894737
LDK,107.73206992372882,0.0013994415310089833,0.5263772033898305,118,62.10526315789474
LND,265.8376530769231,0.001939956454025768,0.5455664188034188,117,61.578947368421055
