Source,Destination,Weight Function,Path Length,Total Fee,Total Hop Cost,Path
026da76b66644c36c15f38dc7cba6323d35a0bb5fdfb9ad2af17bf2d9d60a6cef5,02b77b978f7f287a91d341351fbfe580f6c48577dc2d74c0a202299be7d794dbb9,Eclair,5,5.195000,200.000000,026da76b66644c36c15f38dc7cba6323d35a0bb5fdfb9ad2af17bf2d9d60a6cef5 -> 026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93 -> 03640b3403b120a5fb94e175d3942256522268f1059952f1a1969614905e2dc169 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02e6a782a737cad13b015e6604789c8f951e1e6d9a4827810d3e900f008c8aaba1 -> 02b77b978f7f287a91d341351fbfe580f6c48577dc2d74c0a202299be7d794dbb9
026da76b66644c36c15f38dc7cba6323d35a0bb5fdfb9ad2af17bf2d9d60a6cef5,02b77b978f7f287a91d341351fbfe580f6c48577dc2d74c0a202299be7d794dbb9,Combined,5,5.195000,200.000000,026da76b66644c36c15f38dc7cba6323d35a0bb5fdfb9ad2af17bf2d9d60a6cef5 -> 026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93 -> 03640b3403b120a5fb94e175d3942256522268f1059952f1a1969614905e2dc169 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02e6a782a737cad13b015e6604789c8f951e1e6d9a4827810d3e900f008c8aaba1 -> 02b77b978f7f287a91d341351fbfe580f6c48577dc2d74c0a202299be7d794dbb9
0307336cf860655c616f45a1912d3b9127e51e3d0c4293992ad5bc2bfa4f55978c,027c5166b40423795c0fc41fc18c944dd95e070582f514450215ed1dc1d98c0afd,LND,8,49.321089,314.000000,0307336cf860655c616f45a1912d3b9127e51e3d0c4293992ad5bc2bfa4f55978c -> 03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334 -> 0224b693025530ae2b0897f7b26509fc3f03c8301dd0fc7682cad2a2b7e2b98815 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02edbab1f30224e4ccc4d70eae7dc5c06e742c1e0d79a375125ef9200592932ba7 -> 039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1 -> 03627ebe50fc6eb80b0caab0c3714958c701eda735e3c29588e83150d6d4a93976 -> 024465103d65bf86c5799b7178ef55d6f189b8d13f3c4cfb6a7a96ef2ee46b8427 -> 027c5166b40423795c0fc41fc18c944dd95e070582f514450215ed1dc1d98c0afd
0307336cf860655c616f45a1912d3b9127e51e3d0c4293992ad5bc2bfa4f55978c,027c5166b40423795c0fc41fc18c944dd95e070582f514450215ed1dc1d98c0afd,Eclair,8,49.321089,314.000000,0307336cf860655c616f45a1912d3b9127e51e3d0c4293992ad5bc2bfa4f55978c -> 03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334 -> 0224b693025530ae2b0897f7b26509fc3f03c8301dd0fc7682cad2a2b7e2b98815 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02edbab1f30224e4ccc4d70eae7dc5c06e742c1e0d79a375125ef9200592932ba7 -> 039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1 -> 03627ebe50fc6eb80b0caab0c3714958c701eda735e3c29588e83150d6d4a93976 -> 024465103d65bf86c5799b7178ef55d6f189b8d13f3c4cfb6a7a96ef2ee46b8427 -> 027c5166b40423795c0fc41fc18c944dd95e070582f514450215ed1dc1d98c0afd
0307336cf860655c616f45a1912d3b9127e51e3d0c4293992ad5bc2bfa4f55978c,027c5166b40423795c0fc41fc18c944dd95e070582f514450215ed1dc1d98c0afd,Combined,8,49.321089,314.000000,0307336cf860655c616f45a1912d3b9127e51e3d0c4293992ad5bc2bfa4f55978c -> 03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334 -> 0224b693025530ae2b0897f7b26509fc3f03c8301dd0fc7682cad2a2b7e2b98815 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02edbab1f30224e4ccc4d70eae7dc5c06e742c1e0d79a375125ef9200592932ba7 -> 039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1 -> 03627ebe50fc6eb80b0caab0c3714958c701eda735e3c29588e83150d6d4a93976 -> 024465103d65bf86c5799b7178ef55d6f189b8d13f3c4cfb6a7a96ef2ee46b8427 -> 027c5166b40423795c0fc41fc18c944dd95e070582f514450215ed1dc1d98c0afd
02252586c4c9df3c3f27b237f71ada602f57b5aae482fa75006bf00b2fadf31db1,02e97dcba2c5d35fe1243eb2ee9327cbaceda327eedf3fa8dee7a7605c9198cad8,LND,2,23.142000,76.000000,02252586c4c9df3c3f27b237f71ada602f57b5aae482fa75006bf00b2fadf31db1 -> 02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420 -> 02e97dcba2c5d35fe1243eb2ee9327cbaceda327eedf3fa8dee7a7605c9198cad8
02252586c4c9df3c3f27b237f71ada602f57b5aae482fa75006bf00b2fadf31db1,02e97dcba2c5d35fe1243eb2ee9327cbaceda327eedf3fa8dee7a7605c9198cad8,Eclair,2,23.142000,76.000000,02252586c4c9df3c3f27b237f71ada602f57b5aae482fa75006bf00b2fadf31db1 -> 02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420 -> 02e97dcba2c5d35fe1243eb2ee9327cbaceda327eedf3fa8dee7a7605c9198cad8
02252586c4c9df3c3f27b237f71ada602f57b5aae482fa75006bf00b2fadf31db1,02e97dcba2c5d35fe1243eb2ee9327cbaceda327eedf3fa8dee7a7605c9198cad8,Combined,2,23.142000,76.000000,02252586c4c9df3c3f27b237f71ada602f57b5aae482fa75006bf00b2fadf31db1 -> 02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420 -> 02e97dcba2c5d35fe1243eb2ee9327cbaceda327eedf3fa8dee7a7605c9198cad8
0377f4de9bb4a46f5acd9a26e3135df90c61c79b9341d6d4e2ca36fd0e468ccd16,037807983e97158ebb671df6c537ccb123dd8ef61bd4fd9f936d343c81300d6eb0,LND,6,39.848818,234.000000,0377f4de9bb4a46f5acd9a26e3135df90c61c79b9341d6d4e2ca36fd0e468ccd16 -> 025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5 -> 0286f3de56f3cd0d47698e92a6cc05c7507cd25c5c0617e444cb569e27c2275d49 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 031bea0d812673900bb9249eab6dd98aebadd750e22f4f750142e05b0a113aebf0 -> 02a1d2856be336a58af08989aea0d8c41e072ccc392c46f8ce0e6e069f002035f3 -> 037807983e97158ebb671df6c537ccb123dd8ef61bd4fd9f936d343c81300d6eb0
0377f4de9bb4a46f5acd9a26e3135df90c61c79b9341d6d4e2ca36fd0e468ccd16,037807983e97158ebb671df6c537ccb123dd8ef61bd4fd9f936d343c81300d6eb0,Eclair,6,39.848818,234.000000,0377f4de9bb4a46f5acd9a26e3135df90c61c79b9341d6d4e2ca36fd0e468ccd16 -> 025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5 -> 0286f3de56f3cd0d47698e92a6cc05c7507cd25c5c0617e444cb569e27c2275d49 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 031bea0d812673900bb9249eab6dd98aebadd750e22f4f750142e05b0a113aebf0 -> 02a1d2856be336a58af08989aea0d8c41e072ccc392c46f8ce0e6e069f002035f3 -> 037807983e97158ebb671df6c537ccb123dd8ef61bd4fd9f936d343c81300d6eb0
